ActualFlightTime	ActualTotalFuel	ActualTOW	FlownPassengers	BagsCount	FlightBagsWeight
64	2720	58447.0	127.0		
69	2940	62836.0	161.0		
117	5397	67498.0	185.0		
109	4920	66573.0	180.0		
172	7043	67752.0	177.0		
32	1460	58973.0	151.0		
144	6195	67934.0	187.0		
202	8984	71834.0	175.0	141.0	
102	4644	65612.0	176.0		
70	2940		142.0	57.0	750.0
62	2860	64886.0	187.0		
82	3860	67553.0	184.0		
157	6250	66501.0	178.0		
171	7340	68696.0	184.0		
93	3660	63290.0	162.0		
40	1820				
113	2870				
55	2150	48633.0			
45	2370	64306.0	163.0		
23	990	49739.0			
50	2476	61639.0	157.0		
112	4911	64251.0	161.0		
139	5380	65013.0	167.0	87.0	
91	3900	65957.0	179.0		
79	3637	64233.0	175.0		
101	4120	63997.0	173.0		
122	5520	66464.0	176.0		
174	7310	68260.0	185.0		
98	4040	65757.0	183.0		
179	7800	70528.0	177.0		
111	4940		173.0	33.0	430.0
79	3750	66047.0	174.0	45.0	
256	11111	72977.0	181.0		
130	5383	66156.0	170.0		
74	2920	60496.0	137.0		
147	6230	67752.0	180.0	123.0	
78	3880	67789.0	189.0		
81	3310	60097.0	146.0		
94	3107	65612.0	184.0	47.0	
61	2644	59081.0	136.0		
117	4880	65195.0	176.0		
55	2380	63272.0	172.0		
56	2317	61676.0	159.0		
46	2300	65703.0	182.0		
64	2890	63163.0	164.0		
38	1560	60805.0	163.0	56.0	
108	4712	66065.0	181.0		
80	3600	65195.0	171.0		
88	3881	63526.0	166.0		41.0
116	5106	65739.0	171.0	65.0	
163	7064	68315.0	183.0		
97	4145	62945.0	159.0		42.0
80	3710		161.0	90.0	
77	3451	64342.0	181.0		
132	6030	69276.0	173.0		
147	5995	65866.0	173.0		
61	2860	64904.0	185.0		
54	2380	60714.0	160.0		
76	3528	64052.0	165.0		
166	7360		172.0	99.0	1280.0
117	5060		169.0	49.0	640.0
79	3743	64106.0	176.0		
107	4360	63889.0	170.0	21.0	
104	4460	65322.0	174.0		
135	5940	68079.0	177.0		
112	4990	64759.0	158.0		
46	1990	50519.0			
79	3280		180.0	23.0	300.0
231	8095	55181.0			
48	2540	62764.0	175.0		
111	4880	66047.0	166.0		
62	2860	63580.0	160.0		
57	2616	61748.0	167.0		
33	1550	56633.0	111.0		
58	2660	64923.0	185.0		
186	7840	70111.0	187.0	131.0	
146	6620	70256.0	182.0		
204	8900	71272.0	181.0		
87	3890		182.0	119.0	1549.0
142	5920	66628.0	182.0		
131	5590	68569.0	187.0		
60	2640	63145.0	168.0		
30	1538	60732.0	158.0		
83	3970	62165.0	122.0		
87	3780	62982.0	156.0		
73	3280		180.0	64.0	917.0
56	2500	62165.0	159.0		
123	5390		166.0	32.0	420.0
216	7860				
13	600	47907.0			
116	5100	66537.0	178.0		
163	7116	69058.0	175.0	71.0	
137	6149	66737.0	182.0		
63	2530	61567.0	168.0		
43	1810		161.0	29.0	380.0
139	6172	66501.0	172.0		
62	2680	61839.0	172.0		
134	5490	63743.0	151.0		
125	5200	65866.0	170.0		
133	5850	66718.0	170.0		55.0
159	6834	67045.0	174.0		
237	10730	73267.0	179.0		
93	3720	59952.0	116.0		
64	3311	66610.0	174.0		
119	5020	65648.0	177.0		
93	3830	63725.0	163.0		
161	6884	68678.0	179.0		
125	5340	64397.0	163.0	83.0	
82	3710	64904.0	177.0		
