ActualFlightTime	ActualTotalFuel	ActualTOW	FlownPassengers	BagsCount	FlightBagsWeight
91.0	3660.0	64016.0	175.0	61.0	440.0
68.0	3280.0	66138.0	182.0	27.0	350.0
64.0	2720.0	58447.0	127.0	24.0	305.2
35.0	1682.0	60587.0	163.0	12.0	150.0
34.0	1877.0	63090.0	178.0	37.0	490.0
35.0	1780.0	62220.0	171.0	18.0	230.0
114.0	5150.0	68532.0	178.0	69.0	900.0
69.0	2940.0	62836.0	161.0	26.0	352.0
89.0	3869.0	62728.0	143.0	31.0	400.0
162.0	6920.0	66573.0	162.0	45.0	590.0
140.0	5780.0	65467.0	174.0	36.0	470.0
80.0	3397.0	64052.0	149.0	43.0	540.0
102.0	4749.0	67480.0	174.0	120.0	1559.0
53.0	2320.0	63344.0	173.0	55.0	700.0
54.0	2667.0	64705.0	183.0	59.0	770.0
149.0	6800.0	71290.0	183.0	109.0	1420.0
150.0	6530.0	67281.0	177.0	116.0	940.0
92.0	4150.0	66555.0	183.0	95.0	1230.0
84.0	3696.0	64016.0	173.0	38.0	490.0
120.0	5040.0	65068.0	171.0	77.0	1000.0
244.0	10517.0	71562.0	174.0	75.0	970.0
138.0	6220.0	68369.0	184.0	134.0	1740.0
119.0	4998.0	66555.0	183.0	72.0	930.0
122.0	5730.0	68061.0	183.0	116.0	1510.0
124.0	5440.0	66356.0	161.0	46.0	600.0
54.0	2680.0	63743.0	169.0	75.0	975.0
108.0	4450.0	65304.0	175.0	18.0	230.0
103.0	4680.0	68043.0	182.0	43.0	560.0
76.0	3490.0	65267.0	158.0	41.0	530.0
173.0	7910.0	72433.0	170.0	44.0	580.0
108.0	5010.0	68424.0	177.0	46.0	600.0
129.0	5477.0	66337.0	179.0	31.0	410.0
102.0	4800.0	66972.0	176.0	32.0	420.0
117.0	4580.0	64505.0	162.0	53.0	690.0
108.0	4970.0	67426.0	173.0	78.0	1010.0
117.0	5397.0	67498.0	185.0	68.6	896.0
175.0	7250.0	68206.0	163.0	113.0	1470.0
245.0	10916.0	73702.0	183.0	107.0	1399.0
177.0	7344.0	68514.0	174.0	100.0	1300.0
109.0	4920.0	66573.0	180.0	61.4	796.0
125.0	5000.0	65050.0	173.0	24.0	310.0
118.0	4790.0	65122.0	176.0	68.0	850.0
101.0	4390.0	65503.0	183.0	43.0	490.0
132.0	5600.0	67063.0	178.0	29.0	437.0
151.0	6616.0	67553.0	176.0	46.0	690.0
130.0	5580.0	65938.0	176.0	50.0	650.0
172.0	7043.0	67752.0	177.0	70.8	919.8
151.0	6381.0	65993.0	161.0	36.0	470.0
84.0	3200.0	60442.0	152.0	5.0	70.0
32.0	1460.0	58973.0	151.0	24.4	318.0
68.0	2980.0	64179.0	168.0	68.0	884.0
237.0	10594.0	72850.0	185.0	138.0	1919.0
109.0	4940.0	66392.0	178.0	84.0	1090.0
79.0	3380.0	63544.0	170.0	49.0	640.0
239.0	10210.0	69022.0	163.0	85.0	1110.0
112.0	5190.0	67625.0	174.0	86.0	1170.0
181.0	8040.0	69965.0	177.0	87.0	1130.0
112.0	5040.0	65975.0	157.0	42.0	550.0
165.0	7140.0	68297.0	171.0	75.0	980.0
95.0	4000.0	64759.0	171.0	19.0	250.0
140.0	6113.0	66791.0	175.0	48.0	620.0
151.0	6700.0	68133.0	179.0	76.0	990.0
151.0	6839.0	69603.0	186.0	117.0	1620.0
156.0	6690.0	67898.0	175.0	51.0	670.0
98.0	3960.0	64886.0	160.0	74.0	969.0
80.0	3720.0	64741.0	171.0	18.0	240.0
89.0	3746.0	62927.0	163.0	32.0	420.0
240.0	10730.0	73956.0	183.0	109.0	1420.0
146.0	6130.0	66755.0	177.0	35.0	460.0
149.0	6770.0	68424.0	179.0	136.0	1770.0
130.0	5460.0	66972.0	175.0	78.0	1010.0
65.0	3180.0	64505.0	175.0	119.0	1549.0
85.0	3620.0	64106.0	180.0	27.0	360.0
68.0	3020.0	63743.0	184.0	10.0	130.0
70.0	2830.0	63036.0	78.0	15.0	200.0
72.0	3380.0	66065.0	170.0	39.0	510.0
132.0	5340.0	64397.0	167.0	40.0	520.0
52.0	2630.0	66337.0	180.0	27.0	360.0
59.0	2800.0	64197.0	182.0	37.0	480.0
75.0	3100.0	61313.0	147.0	45.0	390.0
95.0	3900.0	62510.0	158.0	55.0	720.0
74.0	3200.0	65467.0	182.0	38.0	500.0
51.0	2300.0	64070.0	172.0	6.0	80.0
42.0	2327.0	63816.0	179.0	62.0	800.0
80.0	3440.0	63635.0	180.0	30.0	390.0
132.0	5720.0	66827.0	170.0	51.0	750.0
166.0	7250.0	68877.0	177.0	73.0	950.0
85.0	3610.0	64324.0	177.0	19.0	250.0
79.0	3350.0	63236.0	168.0	43.0	560.0
103.0	4660.0	68151.0	174.0	86.0	1120.0
106.0	4844.0	66991.0	178.0	115.0	1499.0
154.0	6550.0	64832.0	147.0	59.0	770.0
256.0	10980.0	71870.0	172.0	108.0	1400.0
55.0	2420.0	64070.0	180.0	24.0	310.0
53.0	2313.0	64469.0	181.0	35.0	460.0
72.0	3392.0	63870.0	144.0	72.0	940.0
50.0	2430.0	64650.0	177.0	53.0	690.0
42.0	2130.0	63363.0	171.0	29.0	380.0
202.0	8971.0	70782.0	187.0	120.0	1560.0
150.0	6889.0	69349.0	184.0	100.0	1299.0
35.0	1621.0	56832.0	111.0	19.0	240.0
157.0	7165.0	70183.0	180.0	117.0	1530.0
112.0	4712.0	64832.0	172.0	56.0	730.0
126.0	5540.0	67807.0	178.0	37.0	480.0
78.0	3490.0	64759.0	164.0	20.0	260.0
267.0	11710.0	72705.0	177.0	93.0	1210.0
258.0	11090.0	70999.0	168.0	89.0	1160.0
80.0	3700.0	65848.0	173.0	74.0	480.0
83.0	3598.0	63435.0	166.0	45.0	590.0
100.0	4077.0	63290.0	161.0	31.0	410.0
160.0	6500.0	67916.0	176.0	58.0	750.0
76.0	3370.0	63381.0	169.0	24.0	310.0
77.0	3190.0	63326.0	176.0	11.0	140.0
158.0	6620.0	66265.0	161.0	47.0	610.0
59.0	2630.0	63508.0	157.0	14.0	180.0
101.0	4280.0	65267.0	175.0	87.0	1130.0
146.0	6180.0	66374.0	161.0	72.0	690.0
79.0	3640.0	65721.0	167.0	17.0	220.0
103.0	4640.0	67517.0	176.0	56.0	730.0
179.0	8158.0	69294.0	179.0	84.0	1090.0
261.0	11480.0	73956.0	186.0	128.0	1660.0
87.0	3730.0	64523.0	173.0	52.0	680.0
84.0	3610.0	63199.0	164.0	31.0	400.0
88.0	3506.0	63852.0	184.0	47.0	620.0
136.0	5900.0	65757.0	169.0	69.0	900.0
126.0	5380.0	65957.0	181.0	104.0	1352.0
98.0	4032.0	60787.0	117.0	37.0	550.0
187.0	7882.0	68714.0	172.0	138.0	1200.0
97.0	4300.0	62365.0	158.0	30.0	390.0
101.0	4080.0	63725.0	173.0	23.0	307.0
85.0	3580.0	62056.0	165.0	65.0	850.0
158.0	6853.0	69276.0	189.0	96.0	1250.0
85.0	3530.0	64614.0	185.0	28.0	360.0
155.0	6600.0	66192.0	175.0	76.0	988.0
121.0	5600.0	68823.0	187.0	152.0	1976.0
144.0	6195.0	67934.0	187.0	80.0	1054.0
202.0	8984.0	71834.0	175.0	141.0	1088.0
127.0	5651.0	67190.0	175.0	71.0	920.0
84.0	3650.0	64415.0	179.0	50.0	650.0
110.0	5100.0	64560.0	139.0	71.0	923.0
93.0	3823.0	64923.0	177.0	25.0	220.0
170.0	7400.0	69929.0	181.0	109.0	1420.0
101.0	4372.0	65031.0	177.0	27.0	350.0
115.0	5079.0	65158.0	171.0	18.0	240.0
56.0	2594.0	62836.0	169.0	24.0	310.0
58.0	2826.0	63072.0	171.0	30.0	390.0
102.0	4644.0	65612.0	176.0	53.4	696.0
100.0	4080.0	63290.0	158.0	48.0	620.0
197.0	8410.0	69004.0	159.0	99.0	1290.0
205.0	9133.0	70274.0	181.0	100.0	1300.0
95.0	4140.0	62728.0	161.0	40.0	520.0
87.0	3900.0	65993.0	188.0	45.0	590.0
73.0	3400.0	65122.0	154.0	66.0	860.0
85.0	3810.0	65557.0	168.0	60.0	410.0
87.0	3492.0	62764.0	169.0	62.0	809.0
249.0	10740.0	72614.0	180.0	97.0	650.0
220.0	9878.0	70111.0	173.0	90.0	1170.0
142.0	6300.0	68333.0	175.0	83.0	1080.0
89.0	4210.0	67752.0	178.0	20.0	260.0
65.0	3038.0	64415.0	176.0	68.0	880.0
70.0	2940.0	61229.2	142.0	57.0	750.0
182.0	7447.0	65104.0	138.0	76.0	990.0
124.0	5170.0	65122.0	168.0	31.0	400.0
71.0	2980.0	63834.0	175.0	34.0	450.0
62.0	2860.0	64886.0	187.0	30.4	395.6
82.0	3860.0	67553.0	184.0	44.2	575.8
132.0	5550.0	66737.0	182.0	74.0	960.0
94.0	3770.0	62746.0	160.0	16.0	210.0
93.0	4050.0	63961.0	167.0	27.0	350.0
142.0	5920.0	66410.0	174.0	47.0	620.0
157.0	6250.0	66501.0	178.0	47.6	618.0
140.0	6372.0	68242.0	179.0	78.0	1020.0
173.0	7130.0	68496.0	181.0	121.0	1570.0
220.0	9920.0	72777.0	180.0	86.0	1120.0
89.0	3920.0	65884.0	175.0	30.0	390.0
80.0	3565.0	63562.0	170.0	27.0	350.0
133.0	5640.0	67027.0	171.0	80.0	1040.0
135.0	5950.0	69911.0	176.0	173.0	2250.0
143.0	5850.0	66954.0	181.0	76.0	990.0
179.0	7846.0	68786.0	175.0	79.0	1030.0
68.0	3190.0	63326.0	172.0	15.0	200.0
103.0	4500.0	65267.0	173.0	44.0	570.0
145.0	6381.0	68641.0	183.0	102.0	1320.0
156.0	6957.0	67317.0	174.0	54.0	700.0
138.0	5660.0	66319.0	181.0	101.0	1310.0
171.0	7340.0	68696.0	184.0	93.2	1146.0
66.0	2770.0	62202.0	165.0	24.0	310.0
145.0	6680.0	69965.0	185.0	123.0	1600.0
116.0	4910.0	66319.0	179.0	101.0	770.0
93.0	3660.0	63290.0	162.0	28.8	374.0
185.0	7840.0	68043.0	174.0	67.0	870.0
155.0	6971.0	70201.0	182.0	120.0	1560.0
122.0	5500.0	66809.0	163.0	47.0	610.0
107.0	4580.0	65975.0	175.0	47.0	610.0
119.0	5120.0	65576.0	173.0	34.0	450.0
123.0	5200.0	64977.0	158.0	83.0	1080.0
101.0	4250.0	64542.0	171.0	42.0	550.0
179.0	7678.0	68351.0	172.0	87.0	1130.0
113.0	4517.0	63689.0	155.0	38.0	490.0
149.0	6560.0	67353.0	173.0	123.0	1600.0
113.0	4980.0	66628.0	185.0	110.0	1430.0
102.0	4330.0	65213.0	164.0	59.0	770.0
51.0	2380.0	66138.0	179.0	24.0	310.0
